Organization,Contact Name,Email,Position,Focus Area,Relevant Frameworks,Contact Date,Response Status,Notes,Follow-up Date
MIT CSAIL,,csail-director@mit.edu,Director,AI/Quantum/Theoretical CS,Consciousness/Quantum/AI Architecture,,,General email - may need specific contact,
MIT Media Lab,,director@media.mit.edu,Director,Human-Computer Interaction,Consciousness/Human-Computer Interfaces,,,General email - may need specific contact,
MIT Physics,,physics-info@mit.edu,Department Head,Theoretical Physics,Cosmological/Oscillatory Dynamics,,,General email - may need specific contact,
Stanford HAI,,hai-info@stanford.edu,Director,Human-AI Interaction,Consciousness/AI Architecture,,,General email - may need specific contact,
Stanford SIEPR,,siepr-info@stanford.edu,Director,Economic Policy,Reality-State Currency/Economic Systems,,,General email - may need specific contact,
Caltech Physics,,physics@caltech.edu,Department Head,Cosmology/Quantum,Cosmological/Temporal Determinism,,,General email - may need specific contact,
Harvard SEAS,,seas-info@harvard.edu,Director,Applied Sciences,Genomics/Biomimetic Computing,,,General email - may need specific contact,
Los Alamos National Lab,,webmaster@lanl.gov,Research Director,Complex Systems/National Security,Cryptography/Complex Systems,,,General email - may need specific contact,
Lawrence Berkeley Lab,,info@lbl.gov,Research Director,Energy/Computing/Materials,Environmental Sensing/Computational Systems,,,General email - may need specific contact,
Oak Ridge National Lab,,info@ornl.gov,Research Director,Supercomputing/Materials,High-Performance Computing,,,General email - may need specific contact,
CERN,,cern.info@cern.ch,Research Director,Particle Physics,Cosmological/Temporal Determinism,,,General email - may need specific contact,
Max Planck Gravitational Physics,,office@aei.mpg.de,Director,Gravitational Waves/Cosmology,Oscillatory/Cosmological,,,General email - may need specific contact,
Google DeepMind,,research@deepmind.com,Research Director,AI/Consciousness,Consciousness/AI Architecture,,,May need LinkedIn approach,
Google Quantum AI,,quantumai@google.com,Research Director,Quantum Computing,Quantum Processing Systems,,,May need LinkedIn approach,
Microsoft Research,,msresearch@microsoft.com,Principal Researcher,AI/Human-Computer,AI Architecture/Human-Computer,,,May need LinkedIn approach,
OpenAI,,research@openai.com,Research Director,AI Safety/Consciousness,Consciousness/AI Architecture,,,May need LinkedIn approach,
DARPA I2O,,i2o@darpa.mil,Program Manager,Revolutionary Technologies,Cryptography/Computational Architectures,,,Need specific PM contact,
NASA Ames,,arc-info@nasa.gov,Research Director,Space/Computational Modeling,Environmental Sensing/Complex Systems,,,Need specific directorate contact,
NSF CISE,,cise-info@nsf.gov,Program Officer,Fundamental Research,All Frameworks,,,Need specific program officer,
RAND Corporation,,rand-info@rand.org,Research Director,Policy/Complex Systems,Economic Systems/Complex Systems,,,Need specific researcher contact,
Brookings Institution,,info@brookings.edu,Senior Fellow,Economic/Technology Policy,Economic Systems/Policy Analysis,,,Need specific fellow contact,
Institute for Advanced Study,,info@ias.edu,Faculty,Theoretical Physics/Math,Cosmological/Mathematical Foundations,,,Princeton - high priority,
Perimeter Institute,,reception@perimeterinstitute.ca,Research Director,Theoretical Physics,Cosmological/Temporal/Quantum,,,Canada - high priority,
Santa Fe Institute,,info@santafe.edu,Research Director,Complex Systems,All Frameworks,,,Complex systems focus - high priority,
ETH Zurich,,info@ethz.ch,Department Head,Computer Science/Physics,Quantum/Computational/AI,,,Switzerland - high priority,
University of Oxford,,enquiries@ox.ac.uk,Department Head,Physics/Computer Science,Cosmological/AI/Consciousness,,,UK - high priority,
University of Cambridge,,enquiries@cam.ac.uk,Department Head,Physics/Computer Science,Cosmological/AI/Consciousness,,,UK - high priority,
RIKEN,,pr@riken.jp,Research Director,Advanced Sciences,Quantum/Computational/Complex Systems,,,Japan - high priority,
Tsinghua University,,info@tsinghua.edu.cn,Department Head,Computer Science/Physics,AI/Quantum/Computational,,,China - high priority,
National University of Singapore,,enquiry@nus.edu.sg,Department Head,Computer Science/Physics,AI/Quantum/Computational,,,Singapore - high priority,
University of Tokyo,,info@u-tokyo.ac.jp,Department Head,Physics/Computer Science,Quantum/AI/Complex Systems,,,Japan - high priority,
Australian National University,,enquiries@anu.edu.au,Department Head,Physics/Computer Science,Quantum/Computational/Complex Systems,,,Australia - high priority,
Vector Institute,,info@vectorinstitute.ai,Research Director,AI Research,AI Architecture/Consciousness,,,Canada AI - high priority,
Mila Quebec AI,,info@mila.quebec,Research Director,AI Research,AI Architecture/Consciousness,,,Canada AI - high priority,
Allen Institute for AI,,info@allenai.org,Research Director,AI Research,AI Architecture/Consciousness,,,Seattle AI - high priority,
DeepMind Health,,health@deepmind.com,Research Director,AI Health,AI Architecture/Genomics,,,Health AI - high priority,
IBM Research,,ibmresearch@us.ibm.com,Research Director,Quantum/AI,Quantum/AI Architecture,,,IBM Watson - high priority,
Bell Labs,,info@bell-labs.com,Research Director,Advanced Technologies,Quantum/Computational/AI,,,Nokia Bell Labs - high priority,
Xerox PARC,,info@parc.com,Research Director,Advanced Computing,AI/Computational/Complex Systems,,,PARC - high priority,
Fraunhofer Institute,,info@fraunhofer.de,Research Director,Applied Research,Computational/AI/Complex Systems,,,Germany - high priority,
CNRS,,communication@cnrs.fr,Research Director,Fundamental Research,Physics/Mathematics/Complex Systems,,,France - high priority,
CEA,,communication@cea.fr,Research Director,Advanced Technologies,Quantum/Computational/Energy,,,France - high priority, 
